time(s),C_Active,L_Active,itp_Po,itp_Temp,itp_HR,itp_RR,itp_HRV
2352.7318,0.0007957826,0.017012504,-27.807731,0.003039752,138.49321,63.094311,0.010848069
2352.8318,0.00079586307,0.019057825,-27.807731,0.003013757,138.47281,63.048755,0.01081591
2352.9318,0.00079594355,0.021103146,-27.807731,0.0029877621,138.4177,63.003198,0.010811883
2353.0318,0.00079602402,0.022840984,-27.807731,0.0029617672,138.36258,62.957641,0.010807857
2353.1318,0.00079610449,0.020625698,-27.807731,0.0029357722,138.30747,62.912085,0.01080383
2353.2318,0.00079618496,0.018410411,-27.806042,0.0029097773,138.25396,62.866528,0.010798992
2353.3318,0.00079626543,0.016195125,-27.800004,0.0028837824,138.25396,62.820972,0.010780482
2353.4318,0.00078484672,0.013979839,-27.793966,0.002862636,138.25396,62.775415,0.010761972
2353.5318,0.00077037545,0.011764552,-27.787928,0.00285292,138.25396,62.729858,0.010743462
2353.6318,0.00075590417,0.0095492657,-27.78189,0.0028432039,138.25396,62.668561,0.010724952
2353.7318,0.0007414329,0.0073339793,-27.777535,0.0028334878,138.25703,62.605322,0.010707789
2353.8318,0.00072696163,0.0051186928,-27.777535,0.0028237717,138.26175,62.542084,0.010690882
2353.9318,0.00071249036,0.0029034064,-27.777535,0.0028140556,138.26646,62.478845,0.010673975
2354.0318,0.00069801908,0.0020093144,-27.777535,0.0028043395,138.27118,62.415607,0.010657069
2354.1318,0.00068354781,0.0019925572,-27.777535,0.0027946234,138.29096,62.352368,0.010650704
2354.2318,0.00066907654,0.0019758001,-27.775658,0.0027849073,138.35041,62.28913,0.010650704
2354.3318,0.0006603572,0.001959043,-27.768903,0.0027751912,138.40985,62.225891,0.010650704
2354.4318,0.00070410398,0.0019422859,-27.762147,0.0027654751,138.46929,62.162653,0.010650704
2354.5318,0.00074785076,0.0019255287,-27.755392,0.0027557591,138.52873,62.099414,0.010660617
2354.6318,0.00079159755,0.0019087716,-27.748636,0.002746043,138.58424,62.036175,0.010684793
2354.7318,0.00083534433,0.0018920145,-27.743751,0.0027363269,138.63932,61.972937,0.01070897
2354.8318,0.00087909112,0.0018752573,-27.743751,0.0027266108,138.6944,61.953885,0.010733147
2354.9318,0.0009228379,0.001847693,-27.743751,0.0027168947,138.74948,61.987252,0.010759441
2355.0318,0.00096658468,0.001747765,-27.743751,0.0027071786,138.80587,62.020619,0.010794331
2355.1318,0.0010103315,0.0016478369,-27.743751,0.0026974625,138.86339,62.053986,0.01082922
2355.2318,0.0010540783,0.0015479088,-27.741933,0.0026877464,138.92092,62.087353,0.01086411
2355.3318,0.0010664304,0.0014479807,-27.735346,0.0026780303,138.97845,62.120719,0.010899
2355.4318,0.0010329532,0.0013480526,-27.728758,0.0026683143,139.02623,62.154086,0.01090352
2355.5318,0.00099947596,0.0012481245,-27.72217,0.0026585982,139.02623,62.187453,0.01090769
2355.6318,0.00096599875,0.0011481964,-27.715583,0.0026488821,139.02623,62.22082,0.01091186
2355.7318,0.00093252153,0.0010482683,-27.709079,0.002639166,139.02623,62.254187,0.01091603
2355.8318,0.00089904432,0.00094834022,-27.702797,0.0026294499,139.02623,62.287554,0.010916945
2355.9318,0.0008655671,0.00093225694,-27.696515,0.0026197338,139.02623,62.320921,0.010916945
2356.0318,0.00083208989,0.00095938373,-27.690234,0.0026100177,139.02623,62.351514,0.010916945
2356.1318,0.00079861267,0.00098651053,-27.683952,0.0026003016,139.02623,62.351514,0.010916945
2356.2318,0.00076513546,0.0010136373,-27.678317,0.0025905855,139.02623,62.351514,0.010940109
2356.3318,0.00083337909,0.0010407641,-27.674399,0.0025808694,139.04425,62.351514,0.010980331
2356.4318,0.00094241782,0.0010678909,-27.67048,0.0025711534,139.09258,62.351514,0.011020553
2356.5318,0.0010514565,0.0010950177,-27.666561,0.0025614373,139.14091,62.351514,0.011060775
2356.6318,0.0011604953,0.0011221445,-27.662643,0.0025517212,139.18924,62.351514,0.011077736
2356.7318,0.001269534,0.0011492713,-27.657999,0.0025420051,139.23757,62.351514,0.011055749
2356.8318,0.0013785727,0.0012099058,-27.651423,0.002532289,139.29898,62.351514,0.011033763
2356.9318,0.0014876114,0.0014134921,-27.644848,0.0025225729,139.36093,62.351514,0.011011776
2357.0318,0.0015966502,0.0016170784,-27.638273,0.0025128568,139.42289,62.351514,0.01098857
2357.1318,0.0017056889,0.0018206646,-27.631698,0.0025031407,139.48485,62.351514,0.010959556
2357.2318,0.0018123167,0.0020242509,-27.624916,0.0024934246,139.54325,62.351514,0.010930543
2357.3318,0.0018178678,0.0022278371,-27.617583,0.0024837086,139.59883,62.413611,0.01090153
2357.4318,0.001823419,0.0024314234,-27.610249,0.002481415,139.65441,62.494474,0.010872516
2357.5318,0.0018289702,0.0026350096,-27.602916,0.0024966196,139.70999,62.575338,0.010831336
2357.6318,0.0018345214,0.0028385959,-27.595582,0.0025118242,139.76048,62.656202,0.010789832
2357.7318,0.0018400725,0.0030421822,-27.588445,0.0025270288,139.7852,62.737066,0.010748329
2357.8318,0.0018456237,0.0029466612,-27.581836,0.0025422334,139.80991,62.81793,0.010706826
2357.9318,0.0018511749,0.0027347413,-27.575227,0.002557438,139.83462,62.898794,0.010672874
2358.0318,0.0018567261,0.0025228214,-27.568618,0.0025726426,139.85933,62.979658,0.010641097
2358.1318,0.0018622772,0.0023109014,-27.562008,0.0025878471,139.88154,63.060522,0.01060932
2358.2318,0.0018578712,0.0020989815,-27.555334,0.0026030517,139.90302,63.141386,0.010577543
2358.3318,0.0018334188,0.0018870616,-27.548482,0.0026182563,139.92449,63.22225,0.010564164
2358.4318,0.0018089664,0.0016751417,-27.541631,0.0026334609,139.94596,63.303114,0.010564164
2358.5318,0.0017845141,0.0014632218,-27.534779,0.0026486655,139.97567,63.382317,0.010564164
2358.6318,0.0017600617,0.0012513018,-27.527928,0.0026638701,140.01831,63.460587,0.010564164
2358.7318,0.0017356093,0.0011049976,-27.521297,0.0026790747,140.06095,63.538857,0.010548017
2358.8318,0.0017111569,0.001155711,-27.515262,0.0026942793,140.10359,63.617127,0.010505714
